FisNo,Fisinx,cbpg,tanim,ParaCinsi,EvrakNo,Tutar,Banka,Sube,Vade,MuhKod,KurFarkiMuhKod,MM,KurFarkiMM,StpjOran,KDVOran,StpjMuhKod,KDVMuhKod,_FKDVTop,_FOTVTop,_FFatTop,locked,Tanim2,KurFarkiDvz,BABSCODE,ExtraField1,ExtraField2,ExtraField3,TevKod,TevOran,TevMuhKod
8063,8721,120.186,Deniz 5777 kargodan alındı.,US,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,
8064,8722,120.044,Medya Otelden alındı.,US,,330.0,,,,,,,,,,,,,,,,,,,,,,,,
8065,8723,120.078,Mağaza Tahsilatı- RUSLAN,US,,6000.0,,,,,,,,,,,,,,,,,,,,,,,,
8066,8724,120.191,Aksaray Otelden alındı.,US,,732.0,,,,,,,,,,,,,,,,,,,,,,,,
8067,8725,120.146,Korona Pay ile alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8068,8726,120.089,Cenova tekstilden alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8069,8727,120.131,Kargo 34'ten alındı.,US,,440.0,,,,,,,,,,,,,,,,,,,,,,,,
8070,8728,120.184 ,Korona Pay ile alındı.,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
8071,8729,120.174,Korona Pay ile alındı.,US,,863.0,,,,,,,,,,,,,,,,,,,,,,,,
8072,8730,120.065,TAHSİLAT MAGAZA,US,,150.0,,,,,,,,,,,,,,,,,,,,,,,,
8072,8731,120.065,İNDİRİM ,US,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
8073,8732,120.187,Mos Trans kargodan alındı.,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8074,8733,120.039,Medya Otelden alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8075,8734,G008,Bratello Ayk.,EU,,4000.0,,,,,,,,,0.00,,,,,,,,,,,,,,,
8075,8735,G008,Veronica,US,,7000.0,,,,,,,,,0.00,,,,,,,,,,,,,,,
8076,8736,G008,İsmet,US,,10000.0,,,,,,,,,0.00,,,,,,,,,,,,,,,
8076,8737,G008,Bonero Ahmet,US,,20000.0,,,,,,,,,0.00,,,,,,,,,,,,,,,
8076,8738,G008,Yasin Geveş,US,,10000.0,,,,,,,,,0.00,,,,,,,,,,,,,,,
8077,8739,120.122,TAHSİLAT MAGAZA SAYARA,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8078,8740,G008,Emrahın Dayısı,US,,15000.0,,,,,,,,,0.00,,,,,,,,,,,,,,,
8079,8741,G008,Umut Samet,US,,18500.0,,,,,,,,,0.00,,,,,,,,,,,,,,,
8080,8742,G008,Bonero Ahmet,US,,15000.0,,,,,,,,,0.00,,,,,,,,,,,,,,,
8081,8743,YS-001,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8082,8744,120.150,Vilnius Kargodan alındı.,EU,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,
8083,8745,120.049,Sky Tour kargodan alındı.,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8084,8746,120.040,Alsu Trans kargodan alındı.,US,,1982.0,,,,,,,,,,,,,,,,,,,,,,,,
8085,8747,120.066,Zeri Gold Kuyumculuktan alındı.,US,,1300.0,,,,,,,,,,,,,,,,,,,,,,,,
8086,8748,120.186,Deniz 5777 kargodan alındı.,US,,6080.0,,,,,,,,,,,,,,,,,,,,,,,,
8087,8749,120.094,Sipar Kargodan alındı.,US,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,
8088,8750,120.096,Kargo 34'ten alındı.,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
8089,8751,120.084,Korona Pay ile alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8090,8752,120.037,TAHSİLAT MAGAZA İRA,US,,5000.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8753,320.081,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8755,320.057,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8756,320.014,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8757,320.096,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8759,320.023,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8760,320.004,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8761,320.108,Mağaza Tahsilatı,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8762,320.104,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8763,320.026,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8764,320.132,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8765,320.063,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8766,320.020,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8767,320.043,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8768,320.052,Mağaza Tahsilatı,EU,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8769,320.047,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8770,320.071,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8771,320.067,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8772,320.088,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8773,320.100,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8774,320.120,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8775,320.056,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8776,320.033,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8777,320.116,Mağaza Tahsilatı,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8778,320.006,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8779,320.115,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8781,320.093,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8782,320.078,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8783,320.001,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8784,320.069,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8785,320.130,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8786,320.122,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8787,320.118,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8788,320.085,Mağaza Tahsilatı,TL,,30000.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8789,320.076,Mağaza Tahsilatı,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8790,320.133,Mağaza Tahsilatı,TL,,30000.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8791,320.051,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8792,320.003,Mağaza Tahsilatı,TL,,20000.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8793,320.101,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8794,320.086,Mağaza Tahsilatı,TL,,7700.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8795,320.064,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8796,320.098,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8797,320.121,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8798,320.059,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,23.000 TL + 400$ şeklinde,,,,,,,,
8091,8800,320.030,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8801,320.024,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8802,320.010,Mağaza Tahsilatı,US,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8804,320.139,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8805,320.049,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8807,320.061,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8808,320.140,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8809,320.136,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8810,320.041,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8811,320.128,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8812,320.105,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8813,320.103,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8814,320.066,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8817,320.046,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8818,320.102,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8091,8819,320.013,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
8092,8754,120.128,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8093,8780,120.021,İADE 001-6894 BOZUK MAL-İNDİRİM KABULETMEDİ MÜŞTERİ,US,,360.0,,,,,,,,,,,,,,,,,,,,,,,,
8094,8799,120.078,TAHSİLAT MAGAZA RUSLAN,US,,6000.0,,,,,,,,,,,,,,,,,,,,,,,,
8095,8803,120.021,Barlas Golddan alındı.,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
8096,8815,120.093,TEK kargodan alındı.,US,,5000.0,,,,,,,,,,,,,,,,,,,,,,,,
8097,8816,120.026,TAHSİLAT MAGAZA RUSLAN,US,,553.0,,,,,,,,,,,,,,,,,,,,,,,,
8098,8820,320.093,Verilen Deri karşılığı,US,,138.0,,,,,,,,,,,,,,,,,,,,,,,,
8099,8821,320.014,Verilen Deri karşılığı,US,,131.0,,,,,,,,,,,,,,,,,,,,,,,,
8100,8822,120.072,Korona Pay ile alındı.,US,,832.0,,,,,,,,,,,,,,,,,,,,,,,,
8101,8823,120.112,Vanya Rubil kargodan alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8102,8824,120.079,Polatzade Otelden alındı.,US,,416.0,,,,,,,,,,,,,,,,,,,,,,,,
8103,8825,120.038,Mağaza Tahsilatı,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
8104,8826,120.013,Korona Pay ile alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8105,8827,120.125,Zeri Gold Kuyumculuktan alındı.,US,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,
8106,8828,120.077,Seul Grouptan alındı.,US,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,
8107,8829,120.007,Medya Otelden alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8108,8830,120.184 ,Korona Pay ile alındı.,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
8109,8831,120.043,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8110,8832,120.091,Ünal Otelden alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8111,8833,120.201,Alsu Trans kargodan alındı.,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
8112,8834,120.190,Alsu Trans kargodan alındı.,US,,1472.0,,,,,,,,,,,,,,,,,,,,,,,,
8113,8835,120.100,Aksaray Otelden alındı.,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
8114,8836,120.176,Korona Pay ile alındı.,US,,140.0,,,,,,,,,,,,,,,,,,,,,,,,
8115,8837,120.184 ,1 adet çuval parası,US,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
8117,8839,120.098,UPT ile alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8118,8840,120.152,045 298 k- 8 çift iade ödemesi,US,,251.0,,,,,,,,,,,,,,,,,,,,,,,,
8119,8841,120.154,Rubil kargodan alındı.,US,,1400.0,,,,,,,,,,,,,,,,,,,,,,,,
8120,8842,120.128,Kargo 34'ten alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8122,8844,120.115,1 adet çuval parası,US,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
8123,8845,320.015,Ümit Abiye verdik.,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8124,8846,320.129,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8125,8847,YS- 003,Kutucu Sefere verildi.,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
8126,8848,120.001,Beştau kargodan alındı.,US,,29760.0,,,,,,,,,,,,,,,,,,,,,,,,
8127,8849,120.049,Sky Tour kargodan alındı.,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
8128,8850,120.033,Toni Kargodan alındı.,US,,2350.0,,,,,,,,,,,,,,,,,,,,,,,,
8129,8851,120.139,KZ 999 kargodan alındı.,US,,224.0,,,,,,,,,,,,,,,,,,,,,,,,
8130,8852,120.017,Emoş Aksoy kargodan alındı.,US,,17000.0,,,,,,,,,,,,,,,,,,,,,,,,
8131,8853,120.075,Medya Otelden alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8132,8854,120.076,Medya Otelden alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8133,8855,120.052,Galiera 27 no'dan alındı.,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
8134,8856,120.126,İcon Shoestan alındı.,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8857,320.014,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8858,320.081,Kalıp Ödemesi,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8859,320.099,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8860,320.057,Mağaza Tahsilatı,US,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8861,320.030,Mağaza Tahsilatı,US,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8862,320.071,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8863,320.026,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8864,320.056,Mağaza Tahsilatı,US,,900.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8865,320.012,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8866,320.134,Mağaza Tahsilatı,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8867,320.043,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8868,320.005,Mağaza Tahsilatı,US,,1200.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8869,320.052,Mağaza Tahsilatı ,US,,5000.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8870,320.023,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8871,320.020,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8872,320.063,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8873,320.088,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8874,320.097,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8875,TKNK- 002,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8876,YS-001,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8877,320.047,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8878,320.067,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8879,320.120,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8880,320.036,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8881,320.078,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8882,320.042,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8883,320.074,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8884,320.100,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8885,320.136,Mağaza Tahsilatı,US,,1200.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8886,320.096,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8887,320.133,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8888,320.041,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8889,320.104,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8890,320.033,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8891,320.087,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8892,320.076,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8893,320.093,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8894,320.066,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8895,320.107,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8896,320.001,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8897,320.004,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8898,320.015,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8899,320.059,Mağaza Tahsilatı,US,,1300.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8900,320.116,Mağaza Tahsilatı,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8901,320.039,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8902,320.105,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8903,320.003,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8904,320.024,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8905,320.049,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8906,320.137,Tabancıya Ödendi. ,US,,1750.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8907,320.085,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8910,YS- 003,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8919,320.119,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
8135,8924,320.073,"Hesaba 15,400 TL karşılığı gönderildi.",US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
8136,8908,120.054,Korona Pay ile alındı.,US,,1100.0,,,,,,,,,,,,,,,,,,,,,,,,
8137,8909,120.078,Mağaza Tahsilatı,US,,8000.0,,,,,,,,,,,,,,,,,,,,,,,,
8138,8911,120.031,İNDİRİM SİYAH DERİ AYA BOYADI 023-8128-1. 8 CİFT 50%,US,,152.0,,,,,,,,,,,,,,,,,,,,,,,,
8139,8912,120.044,İNİDİRİM,US,,6.0,,,,,,,,,,,,,,,,,,,,,,,,
8140,8913,120.055,İNDİRİM,US,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
8141,8914,120.059,İNDİRİM,US,,6.0,,,,,,,,,,,,,,,,,,,,,,,,
8142,8915,120.060,İNDİRİM,US,,20.0,,,,,,,,,,,,,,,,,,,,,,,,
8143,8916,120.106,İNDİRİM,US,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
8144,8917,120.113,İNDİRİM,US,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
8145,8918,120.118,İNDİRİM,US,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
8146,8920,120.197,İNDİRİM,US,,6.0,,,,,,,,,,,,,,,,,,,,,,,,
8147,8921,120.031,Mağaza Tahsilatı,US,,5000.0,,,,,,,,,,,,,,,,,,,,,,,,
8148,8922,120.137,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8149,8923,120.022,SK Kargodan alındı.,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
8150,8925,120.037,TAHSİLAT İRA MAGAZA,US,,1200.0,,,,,,,,,,,,,,,,,,,,,,,,
8151,8926,120.184 ,1 adet çuval parası,US,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
8152,8927,120.195,TAHSİLAT MAGAZA SUAT ,US,,1590.0,,,,,,,,,,,,,,,,,,,,,,,,
8153,8928,120.146,1 adet çuval parası,US,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
8154,8929,120.026,Korona Pay ile alındı.,US,,216.0,,,,,,,,,,,,,,,,,,,,,,,,
8155,8930,120.098,UPT ile alındı.,US,,924.0,,,,,,,,,,,,,,,,,,,,,,,,
8156,8931,120.184 ,Korona Pay ile alındı.,US,,450.0,,,,,,,,,,,,,,,,,,,,,,,,
8157,8932,120.201,Alsu Trans Kargodan alındı.,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
8158,8933,120.199,Deniz 5777 kargodan alındı.,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8159,8934,120.202,VİP kargodan alındı.,US,,565.0,,,,,,,,,,,,,,,,Laleli Galeria No:27,,,,,,,,
8160,8935,120.205,TAHSİLAT MAGAZA,US,,1495.0,,,,,,,,,,,,,,,,,,,,,,,,
8160,8937,120.205,İNDİRİM,US,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
8161,8936,120.203,Orginos Acentadan alındı.,US,,1000.0,,,,,,,,,,,,,,,,Laleli Galeria No: 216,,,,,,,,
8162,8938,120.037,TAHSİLATA MAGAZA İRA(NUEDEN ALDI),US,,60.0,,,,,,,,,,,,,,,,,,,,,,,,
8163,8939,120.204,Orginos Acentadan alındı.,US,,1716.0,,,,,,,,,,,,,,,,,,,,,,,,
8164,8940,120.146,Korona Pay ile alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8165,8941,120.147,İdeal Kargodan alındı.,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8166,8942,120.154,Vanya Rubil kargodan alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8167,8943,120.088,Antik İness kargodan alındı.,US,,340.0,,,,,,,,,,,,,,,,,,,,,,,,
8167,8944,120.088,Antik İness kargodan alındı.,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8168,8945,120.135,Antik İness kargodan alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8169,8946,120.188,VEP kargodan alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8170,8947,120.172,Dila Kuyumculuktan alındı.,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
8171,8948,120.039,Medya otelden alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8172,8949,120.115,1 Adet çuval parası,US,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
8173,8950,120.010,Rai Pay ile alındı.,US,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,
8174,8951,120.115,Korona Pay ile alındı.,US,,908.0,,,,,,,,,,,,,,,,,,,,,,,,
8175,8952,120.159,Tucino dan alındı.,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8176,8953,120.013,Korona Pay ile alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8177,8954,120.126,,US,,240.0,,,,,,,,,,,,,,,,,,,,,,,,
8178,8955,120.102,Medved kargodan alındı.,US,,5000.0,,,,,,,,,,,,,,,,,,,,,,,,
8179,8956,120.206,Harmani Lojistikten alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8180,8957,120.108,Mos Trans kargodan alındı.,US,,1025.0,,,,,,,,,,,,,,,,,,,,,,,,
8181,8958,120.109,Mos Trans kargodan alındı.,US,,584.0,,,,,,,,,,,,,,,,,,,,,,,,
8182,8959,120.187,Korona Pay ile alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8183,8960,120.200,WU ile alındı.,US,,710.0,,,,,,,,,,,,,,,,,,,,,,,,
8184,8961,320.081,Kalıp Masrafı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,8972,YS-001,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,8973,320.057,Mağaza Tahsilatı,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,8974,320.043,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,8975,320.088,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,8976,320.023,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,8977,320.118,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,8978,320.026,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,8979,320.081,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,8980,320.091,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,8981,320.122,Mağaza Tahsilatı ,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,8982,YS- 002,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
8186,8983,320.014,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
